step,action,price,balance
4,buy,22800.33984375,77199.66015625
4,sell,22807.525390625,100007.185546875
7,buy,22824.75390625,77182.431640625
7,sell,22827.9453125,100010.376953125
13,buy,22876.974609375,77133.40234375
13,sell,22878.234375,100011.63671875
32,buy,23028.357421875,76983.279296875
32,sell,23028.470703125,100011.75
44,buy,22912.783203125,77098.966796875
44,sell,22936.2109375,100035.177734375
58,buy,23090.26953125,76944.908203125
58,sell,23090.46875,100035.376953125
79,buy,23135.638671875,76899.73828125
79,sell,23142.556640625,100042.294921875
94,buy,23270.9453125,76771.349609375
94,sell,23273.296875,100044.646484375
95,buy,23228.5859375,76816.060546875
95,sell,23237.7578125,100053.818359375
100,buy,23264.7109375,76789.107421875
100,sell,23265.64453125,100054.751953125
103,buy,23264.37109375,76790.380859375
103,sell,23267.171875,100057.552734375
110,buy,23218.46875,76839.083984375
110,sell,23226.544921875,100065.62890625
112,buy,23187.9921875,76877.63671875
112,sell,23196.822265625,100074.458984375
151,buy,23455.103515625,76619.35546875
151,sell,23462.47265625,100081.828125
152,buy,23436.59375,76645.234375
152,sell,23489.169921875,100134.404296875
168,buy,23567.8203125,76566.583984375
168,sell,23568.86328125,100135.447265625
175,buy,23485.24609375,76650.201171875
175,sell,23487.6796875,100137.880859375
197,buy,23370.0390625,76767.841796875
197,sell,23400.333984375,100168.17578125
213,buy,23296.29296875,76871.8828125
213,sell,23296.45703125,100168.33984375
220,buy,23286.548828125,76881.791015625
220,sell,23286.548828125,100168.33984375
223,buy,23329.455078125,76838.884765625
223,sell,23329.455078125,100168.33984375
234,buy,23354.84765625,76813.4921875
234,sell,23356.697265625,100170.189453125
235,buy,23273.880859375,76896.30859375
235,sell,23401.57421875,100297.8828125
239,buy,23539.701171875,76758.181640625
239,sell,23539.701171875,100297.8828125
240,buy,23505.279296875,76792.603515625
240,sell,23505.279296875,100297.8828125
242,buy,23483.001953125,76814.880859375
242,sell,23492.455078125,100307.3359375
251,buy,23547.509765625,76759.826171875
251,sell,23547.509765625,100307.3359375
254,buy,23564.994140625,76742.341796875
254,sell,23567.126953125,100309.46875
271,buy,23729.31640625,76580.15234375
271,sell,23730.1796875,100310.33203125
284,buy,23712.06640625,76598.265625
284,sell,23720.22265625,100318.48828125
288,buy,23737.47265625,76581.015625
288,sell,23744.375,100325.390625
293,buy,23723.845703125,76601.544921875
293,sell,23725.99609375,100327.541015625
304,buy,23744.185546875,76583.35546875
304,sell,23744.185546875,100327.541015625
307,buy,23690.17578125,76637.365234375
307,sell,23697.94140625,100335.306640625
311,buy,23669.96875,76665.337890625
311,sell,23702.765625,100368.103515625
321,buy,23609.5234375,76758.580078125
321,sell,23614.525390625,100373.10546875
331,buy,23588.625,76784.48046875
331,sell,23592.384765625,100376.865234375
349,buy,23593.0546875,76783.810546875
349,sell,23604.509765625,100388.3203125
351,buy,23604.759765625,76783.560546875
351,sell,23605.26171875,100388.822265625
365,buy,23563.578125,76825.244140625
365,sell,23578.08203125,100403.326171875
375,buy,23500.08203125,76903.244140625
375,sell,23510.716796875,100413.9609375
376,buy,23478.580078125,76935.380859375
376,sell,23489.15234375,100424.533203125
377,buy,23426.115234375,76998.41796875
377,sell,23444.388671875,100442.806640625
