step,action,price,balance
31,buy,23021.880859375,76978.119140625
31,sell,23022.140625,100000.259765625
97,buy,23258.109375,76742.150390625
97,sell,23269.568359375,100011.71875
128,buy,23326.31640625,76685.40234375
128,sell,23349.28515625,100034.6875
166,buy,23555.25390625,76479.43359375
166,sell,23555.25390625,100034.6875
287,buy,23751.333984375,76283.353515625
287,sell,23753.0546875,100036.408203125
325,buy,23607.2421875,76429.166015625
325,sell,23612.44921875,100041.615234375
336,buy,23583.943359375,76457.671875
336,sell,23588.77734375,100046.44921875
344,buy,23586.92578125,76459.5234375
344,sell,23587.560546875,100047.083984375
349,buy,23601.8203125,76445.263671875
349,sell,23602.896484375,100048.16015625
363,buy,23655.0078125,76393.15234375
363,sell,23655.11328125,100048.265625
