idx,signal,price,portfolio
0,buy,17498.091796875,82501.908203125
0,sell,17498.091796875,100000.0
2,buy,17521.44921875,82478.55078125
2,sell,17526.0,100004.55078125
3,buy,17535.900390625,82468.650390625
3,sell,17535.900390625,100004.55078125
6,buy,17535.513671875,82469.037109375
6,sell,17535.513671875,100004.55078125
8,buy,17524.9140625,82479.63671875
8,sell,17524.9140625,100004.55078125
9,buy,17529.2421875,82475.30859375
9,sell,17529.2421875,100004.55078125
12,buy,17514.837890625,82489.712890625
12,sell,17514.837890625,100004.55078125
13,buy,17504.298828125,82500.251953125
13,sell,17504.298828125,100004.55078125
16,buy,17526.283203125,82478.267578125
16,sell,17538.064453125,100016.33203125
18,buy,17519.451171875,82496.880859375
18,sell,17519.451171875,100016.33203125
19,buy,17535.857421875,82480.474609375
19,sell,17535.857421875,100016.33203125
20,buy,17546.10546875,82470.2265625
20,sell,17550.224609375,100020.451171875
23,buy,17572.080078125,82448.37109375
23,sell,17572.080078125,100020.451171875
27,buy,17571.529296875,82448.921875
27,sell,17571.529296875,100020.451171875
28,buy,17577.560546875,82442.890625
28,sell,17577.560546875,100020.451171875
32,buy,17497.525390625,82522.92578125
32,sell,17497.525390625,100020.451171875
34,buy,17713.00390625,82307.447265625
34,sell,17713.00390625,100020.451171875
36,buy,17865.4765625,82154.974609375
36,sell,17865.4765625,100020.451171875
37,buy,17955.54296875,82064.908203125
37,sell,17959.578125,100024.486328125
38,buy,17991.783203125,82032.703125
38,sell,18001.830078125,100034.533203125
39,buy,18024.8046875,82009.728515625
39,sell,18024.8046875,100034.533203125
40,buy,18042.990234375,81991.54296875
40,sell,18055.3125,100046.85546875
41,buy,18055.060546875,81991.794921875
41,sell,18068.9453125,100060.740234375
42,buy,18056.38671875,82004.353515625
42,sell,18059.9140625,100064.267578125
43,buy,18043.41015625,82020.857421875
43,sell,18043.41015625,100064.267578125
44,buy,18036.51171875,82027.755859375
44,sell,18036.51171875,100064.267578125
45,buy,18010.705078125,82053.5625
45,sell,18026.685546875,100080.248046875
46,buy,18006.732421875,82073.515625
46,sell,18006.732421875,100080.248046875
47,buy,17984.6328125,82095.615234375
47,sell,17991.400390625,100087.015625
48,buy,17991.107421875,82095.908203125
48,sell,17991.107421875,100087.015625
49,buy,17984.173828125,82102.841796875
49,sell,17988.83984375,100091.681640625
51,buy,17959.4453125,82132.236328125
51,sell,17959.4453125,100091.681640625
53,buy,17945.822265625,82145.859375
53,sell,17955.529296875,100101.388671875
