idx,signal,price,portfolio
35,buy,17953.06640625,82046.93359375
35,sell,17956.962890625,100003.896484375
53,buy,17917.20703125,82086.689453125
53,sell,17921.359375,100008.048828125
54,buy,17915.857421875,82092.19140625
54,sell,17917.982421875,100010.173828125
92,buy,18016.78125,81993.392578125
92,sell,18017.85546875,100011.248046875
152,buy,17650.423828125,82360.82421875
152,sell,17651.529296875,100012.353515625
172,buy,17646.017578125,82366.3359375
172,sell,17648.119140625,100014.455078125
177,buy,17611.97265625,82402.482421875
177,sell,17613.65625,100016.138671875
181,buy,17608.708984375,82407.4296875
181,sell,17667.81640625,100075.24609375
182,buy,17674.6640625,82400.58203125
182,sell,17678.810546875,100079.392578125
187,buy,17667.236328125,82412.15625
187,sell,17668.390625,100080.546875
188,buy,17604.703125,82475.84375
188,sell,17611.8125,100087.65625
190,buy,17616.705078125,82470.951171875
190,sell,17620.75,100091.701171875
191,buy,17641.09375,82450.607421875
191,sell,17643.806640625,100094.4140625
192,buy,17662.853515625,82431.560546875
192,sell,17664.12890625,100095.689453125
193,buy,17645.501953125,82450.1875
193,sell,17650.384765625,100100.572265625
194,buy,17615.87890625,82484.693359375
194,sell,17621.125,100105.818359375
195,buy,17607.802734375,82498.015625
195,sell,17613.576171875,100111.591796875
197,buy,17638.78515625,82472.806640625
197,sell,17641.95703125,100114.763671875
198,buy,17669.34765625,82445.416015625
198,sell,17670.658203125,100116.07421875
199,buy,17691.271484375,82424.802734375
199,sell,17693.16015625,100117.962890625
200,buy,17713.556640625,82404.40625
200,sell,17714.931640625,100119.337890625
201,buy,17718.736328125,82400.6015625
201,sell,17720.083984375,100120.685546875
202,buy,17723.349609375,82397.3359375
202,sell,17724.099609375,100121.435546875
203,buy,17718.130859375,82403.3046875
203,sell,17719.0625,100122.3671875
204,buy,17696.443359375,82425.923828125
204,sell,17700.0625,100125.986328125
205,buy,17707.39453125,82418.591796875
205,sell,17709.42578125,100128.017578125
206,buy,17708.125,82419.892578125
206,sell,17710.060546875,100129.953125
207,buy,17711.388671875,82418.564453125
207,sell,17712.921875,100131.486328125
