ID,Action,Price,Amount
0,sell,20384.54108187407,100124.84396728277
1,sell,20379.50183123201,100249.82762021571
2,sell,20383.496576645968,100372.94417464733
3,sell,20382.489717195927,100498.09128951133
4,sell,20357.627652822433,100622.5330413759
5,sell,20365.000941704213,100745.2969143078
6,sell,20371.95517363548,100868.47224898936
7,sell,20368.334904645384,100993.53350506128
8,sell,20373.654517266154,101117.68498816343
9,sell,20379.326150934397,101240.85735080989
10,sell,20460.48648571819,101367.38348996494
11,sell,20425.363635240494,101495.18628331277
12,sell,20420.887089912594,101621.54004443141
13,sell,20413.570599924027,101748.83362909708
14,sell,20428.36935341507,101873.70335401746
15,sell,20407.32206121832,101999.11002661439
16,sell,20403.751656372846,102124.70096538814
17,sell,20407.299605841934,102249.2008370504
18,sell,20411.439320524038,102372.94085840287
19,sell,20412.187282693387,102496.22417702677
20,sell,20407.636436487734,102623.31004946085
21,sell,20483.081547755002,102750.46526938083
22,sell,20464.10576402992,102875.19861091228
23,sell,20471.64878913909,103001.40277959706
24,sell,20501.180581122637,103127.66044491382
25,sell,20505.42365658134,103253.94849103392
26,sell,20482.087897349895,103380.94190015347
27,sell,20511.82475975603,103509.72579531373
28,sell,20523.192463825642,103638.66588743032
29,sell,20496.936845211683,103766.67342097464
30,sell,20495.95541317314,103893.72032672616
31,sell,20503.160286732018,104023.95490524622
32,sell,20518.05282444209,104153.1720570803
33,sell,20523.2796435222,104279.89402032646
34,sell,20534.521531438826,104408.02076550128
35,sell,20520.518622905016,104535.71227264556
36,sell,20521.714371697602,104662.98076012584
37,sell,20522.40157226026,104790.55074405673
38,sell,20531.339802740513,104918.30070122483
39,sell,20527.030682057142,105044.78556211444
40,sell,20522.741374941168,105172.28652878554
41,sell,20565.676715044676,105299.78221183867
42,sell,20580.2812955752,105428.56907903403
43,sell,20516.48160854727,105558.11810812206
44,sell,20448.080550716815,105685.4357992947
45,sell,20421.961315491793,105810.62188084124
46,sell,20456.24704274684,105937.12919710724
47,sell,20494.461139965057,106064.77645395098
48,sell,20517.86459555179,106192.06409454641
49,sell,20503.18142120391,106318.11734989283
50,sell,20527.87771206349,106444.4516276702
51,sell,20522.380437788368,106571.20132991073
52,sell,20536.62342071384,106698.78254152983
53,sell,20543.014286878704,106829.23936223089
54,sell,20551.258382047712,106958.13586449921
55,sell,20557.49040944725,107087.05581282228
56,sell,20549.244332921506,107215.42494397162
57,sell,20548.541281504928,107345.23881441055
58,sell,20569.91054417193,107475.73625292478
59,sell,20556.082985709607,107603.52253496645
60,sell,20511.65667465925,107729.78614435345
61,sell,20557.183959604798,107858.82959724664
62,sell,20547.17612671107,107987.24396937489
63,sell,20567.14423993677,108116.37229038178
64,sell,20566.498978091775,108244.86360519676
65,sell,20565.81607046872,108374.44004305301
66,sell,20589.17956869453,108503.97223060874
67,sell,20588.755888578296,108631.3790828347
68,sell,20584.362890459597,108758.25526168046
69,sell,20573.00509317368,108888.1655581474
